id,product_asin,product_name,brand,category,source_type,text,star_rating,date,verified_purchase
6e74549d-3ed1-4776-be67-a59ab94bc1c3,B07BFGZQ65,Ninja Specialty Coffee Maker,Ninja,coffee_maker,review,Perfect !!! - i have a K15 and was concerned it wouldnt fit  but it was PERFECT !!!,5,2018-07-02,True
0080d0a7-ece7-4415-8e5a-b884f9920a86,B01HIT0VMW,Ninja Hot & Cold Brewed System,Ninja,coffee_maker,review,WOW im impressed !!!!!! - im excited to see how the coffee comes out  i got 2 mason jars too  so i ordered a 2nd one of these so i'll always have 2 in the fridge  for the summer<br /><br />UPDATE:  my first cup was a bit strong  i added way too much coffee i guess but i watered it down with plenty of ice and  half and half - a little cinnamon and vanilla -  i ordered the 2nd filter and it will be here soon and i plan to have iced coffee all summer ...  definitely cutting down on the amount of coffee though !!!!!,5,2018-05-28,True
5f549772-363f-497a-a460-fc42523b6431,B00EORXEUS,Ninja DualBrew Coffee Maker,Ninja,coffee_maker,review,Good - these are OK  a little tooo big  but they work  i had ordered Melita discs and they were so flimsy  !!,4,2017-07-22,True
4c4ad6bf-bffc-45ad-9cc9-3481714e4b6c,B07VN6QRQL,Ninja Specialty Coffee Maker,Ninja,coffee_maker,review,horrid - thin and chinsy i could even bother returning it i threw them out  - the second they touched the pot it disintegrated,1,2017-07-15,True
9e72ff5a-d3f4-4f56-a827-cb67d7699c75,B003AXVADA,Ninja Hot & Cold Brewed System,Ninja,coffee_maker,review,Five Stars - Good price for coffee filters.,5,2017-02-21,True
82ae30c7-a86c-4635-a281-8a1851b2e95d,B082DQDDBV,Ninja DualBrew Coffee Maker,Ninja,coffee_maker,review,"Percolator filter rings - I have a percolator of course, but I also have a single cup/kcup maker that has a round at the bottom I used to cut paper towels into circles to catch the drain drips.  Instead, I use a couple of these and change them about 1x a week.  Works really well.   Having said all of this, I never hesitate to update my reviews should new info seem useful. All of my reviews reflect my honest, personal experience with the reviewed item - your experience may be different. I am not influenced by any outside source. I receive/accept NO free products or discounts that are not available to all shoppers- ever. For some reason our shopper ranks are no longer visible - so, to give you a little more info about me, I am a top 50 reviewer (#30 the highest rank achieved). Those numbers used to fluctuate over time - up and down but I noticed that they stopped updating regularly - perhaps to phase them out. It's a shame because it did help you see who has been around the longest and who is a trustworthy reviewer.  I've been doing reviews for over 25 years with Amazon - over 6,000 reviews posted, those reviews have been viewed well over 50,000 times, including well over 25,000 likes. Bottom line, I pay for all my stuff, just like you do.",5,2023-02-08,True
44429e53-ef73-4812-a25a-1392152d0c52,B077WCTV57,Ninja Specialty Coffee Maker,Ninja,coffee_maker,review,"percolater filters - Percolator filters, works great and makes dumping the grounds easily, therefore making cleanup easier.  I never hesitate to update my reviews should new info seem useful. All my reviews reflect my honest, personal experience with the reviewed item - your experience may be different.  I receive/accept NO free products or discounts that are not available to all shoppers.",5,2022-09-25,True
72c0189a-0628-4100-8dce-044f2b6249b6,B0BTV3G59T,Ninja Hot & Cold Brewed System,Ninja,coffee_maker,review,"Ez cup liners - If you have reusable single cup maker and cup these liners are a must have for easy clean up.  Much easier on the landfill than the plastic cups.  Easy to use and the 'lid' on the top is actually a game changer.  Keeps the grounds exactly where they are suppose to be - in the making cup - NOT your drinking cup.  Love them, feel really comfortable recommending them.  I never hesitate to update my reviews should new info seem useful.",5,2022-04-21,True
a9137a98-a055-4819-a147-0508944c67f0,B084L49119,Ninja DualBrew Coffee Maker,Ninja,coffee_maker,review,"single cup reusable - I was a little disappointed that it doesn't quite fit in my single cup maker - I had to really slam the top down - eventually I get it in.  Eh. It's like the puncture needle of my maker is a tiny bit off.  I do recommend the cup liners.  It brews a lighter than the commercial single coffee cups in my opinion - but if you have ground coffee - its worth a try just to keep the single use cups out of the garbage.  Just know it doesn't fit ALL single cup makers.  The maker I use is not a national brand.  All of that said, I never hesitate to update my reviews should new info seem useful.",4,2022-04-21,True
21234f1d-8f03-441a-b9bb-f0f01d76f7de,B09DD2LZBY,Ninja Specialty Coffee Maker,Ninja,coffee_maker,review,"kcup liner - These make using your reusable kcup type cup holder a bit easier to clean and therefore maybe you'll want to use it more often.  :)  I will say that if your reusable shell cup is taller, you should purchase the taller liners.  These work best with the stubbier shells.",5,2019-11-23,True
3e813ddd-72d7-4264-a6fb-60b7928ac268,B07DMRF3QL,Ninja Hot & Cold Brewed System,Ninja,coffee_maker,review,"tall paper single cup filters - purchased these to go in a single cup maker I just purchased that came with an unusual sized ground coffee filter insert.  The taller paper inserts are a narrower than the cup it's self but are just the right height, works good.  Easy to scoop out the used paper insert - just remember not to overfill.  The shorter paper inserts are a tiny bit wider but not tall enough for this particular reusable filter cup.  I never hesitate to update my reviews should new info seem useful, but in this case, I'm pretty sure there will be little else to say... one hopes!",5,2019-10-09,True
e0fa8ba7-c215-4e6d-8bd6-d454151188e9,B07VFQ438P,Ninja DualBrew Coffee Maker,Ninja,coffee_maker,review,"larger stainless pitcher - I actually purchased this to pour one cup of water into my individual cup coffee maker.  So I don't froth milk.. but this pitcher is good for my larger mugs - the other one is smaller mugs - I actually purchased the smaller one first, by accident...Using this pitcher is just easier than guessing how much to pour in.  Overflowing your brewed coffee is such a mess.  They wash in the dishwasher easily - just like your stainless steel utensils.  I never hesitate to update my reviews should new info seem useful.",5,2019-05-22,True
5c9e6748-0bd4-4199-b41c-d8aeda7248d2,B0BZGQJ3W7,Ninja Specialty Coffee Maker,Ninja,coffee_maker,review,"stainless steel pitcher - I actually purchased this to pour one cup of water into my individual cup coffee maker.  So I don't froth milk.. but this pitcher is good for my average mug, I purchased a larger one for my larger mugs.  It's just easier that guessing how much to pour in.  Overflowing your brewed coffee is such a mess.  They wash in the dishwasher easily - just like your stainless steel utensils.  I never hesitate to update my reviews should new info seem useful.",5,2019-05-22,True
42a3245e-117b-42eb-a9e6-0bbdd3b9a92e,B09CBF2XCF,Ninja Hot & Cold Brewed System,Ninja,coffee_maker,review,ez scoop - Worked ok.  Takes a little practice and easily makes a mess if you don't carefully use per directions.  If you are coordinated you'll be fine.  Turns out my machine wouldn't take the &#34;manual&#34; cup - so I gave the cup and this piece with it away.,4,2017-01-11,True
6acfe673-62c7-48c6-b416-ab96377feb0a,B07P3Y8JWY,Ninja DualBrew Coffee Maker,Ninja,coffee_maker,review,"just ok - These are ok... I am always looking for ways to make my Keurig more cost effective. These disposable filters are meant to be used with your &#34;use your own coffee&#34; inserts.  They do make it easy to pull out the grounds from your insert, but once they are wet, they edges are hard to grab up. Definitely wait until it has cooled a second or two before grabbing it. Also, it limits the amount of coffee you can actually put in the insert. After you start buying the inserts (plastic, stainless steel..etc), the cups for the inserts, etc...  I keep wondering if I should just go back to buying the Kcups.  It's still a bit cheaper, even with these paper liners so then I guess it comes down to if you want to do the 2 second kcup or spend a minute or two filling your insert.  A personal choice for everyone to make.",3,2015-05-22,True
3501a441-1617-4850-9616-147c123e3b3f,B092T5Y46X,Ninja Specialty Coffee Maker,Ninja,coffee_maker,review,"great price - I ordered these after looking into replacements for my coffee maker.  Most are outrageously expensive, so when I found these I was thrilled.  For about the price of a pack of 2 of the brand name filters, I got 12.  I am sure they will work perfectly for my use.  I will update if there are any issues.  They arrived quickly (I have prime) and in very good condition.  I will also note that they are all individually wrapped.  Another bonus.  If you need these kidney shaped water filters for your coffee maker, I would recommend trying these for the price alone.",5,2015-05-22,True
d4bbdfa5-b6e6-4377-9d20-f0d1e0d29f5e,B07JMNYK7X,Ninja Hot & Cold Brewed System,Ninja,coffee_maker,review,Excellent Quality! - This small stainless steel frothing jug is an excellent quality. It's sturdy. It's the perfect size for frothing milk for your coffee beverages. It's easy to clean and care for. I am very pleased with it.,5,2019-02-20,False
7c7411f5-e789-4b30-8c70-1f5683bb64e8,B07SHKBXP5,Ninja DualBrew Coffee Maker,Ninja,coffee_maker,review,"Works Well - I am very happy to have found these! My husband and I have an Esperta2 machine. I've been happy with the prefilled pods that are available, but my husband prefers his whole bean coffee. This allows him the convenience of using the Esperta with his own coffee. These work well in our machine. You do have to make sure you line up the little hole correctly when you insert it into the machine. The directions explain how fine or coarse the coffee needs to be for using it. It comes with a spoon and brush. We used to have a Tassimo machine and there were not any reusuable pods that worked with it, so I am pleased that we found these. I'm excited to be able to use some nice flavored coffee beans. I love that these cut down on trash, too! **Update 5/21/2017 - I am still using these and still like them. However, I did want to add something to my review. They don't come out of the pod holder very easily. I usually have to turn the holder upside down and tap it slightly to get it to come out. When doing that, that sometimes dislodges the little filter screen. I didn't realize that it had come out one time and I threw it in the trash with the coffee grounds. Now that I know that can happen, I make sure that it's still there. And if it has come dislodged, I make sure to find it before I throw out the grounds. It's easy to put back in - it just snaps in place. I didn't realize it was even missing until I made coffee the next time with that pod and my coffee was full of grounds! Just wanted to share that.",5,2017-04-03,True
1f72bb53-86fc-4aa1-b5d8-0603086a452e,B07G1NZTDJ,Ninja Specialty Coffee Maker,Ninja,coffee_maker,review,As good as any - I will buy these again for sure,5,2022-03-13,True
01c72030-48a3-4694-a4f2-eb0fda46b1f3,B004MDLZKU,Ninja Hot & Cold Brewed System,Ninja,coffee_maker,review,Great price for Bunn filters - Anyone with a Bunn coffee maker know you need real Bunn filter because they are taller. These are cheaper and just as good.,5,2019-09-13,True
fa56e99b-d3d8-4283-9e1c-062a78e918a1,B0BJPY1F7S,Ninja DualBrew Coffee Maker,Ninja,coffee_maker,review,Well made and a great price. Much cheaper than the ones at Walmart and just as good. - Have been buying these from Amazon for a long time. Different brands but all good prices.,5,2022-03-16,True
b2d9369a-f4d5-4122-9ff6-6bec8a9154ee,B06Y6R5RXN,Ninja Specialty Coffee Maker,Ninja,coffee_maker,review,Equivalent to what I got from Keurig but cheaper. - Great purchase as are most of the things I get from Amazon.,5,2021-02-05,True
